t,UD,SAL
1121,5.1153,4.8074
1122,5.0457,5.0475
1123,5.1166,4.6155
1124,5.1398,4.7927
1125,5.3134,4.8783
1126,5.2206,4.3318
1127,5.0759,4.7857
1128,5.5297,4.9384
1129,5.4139,4.8281
1130,5.4437,5.1062
1131,5.2592,4.3335
1132,5.0507,4.2794
1133,5.2285,4.6935
1134,5.2118,5.1531
1135,5.1895,4.607
1136,5.1263,4.8858
1137,5.0393,4.7565
1138,5.1174,4.679
1139,5.2768,5.0175
1140,5.1886,4.8369
1141,5.3095,4.7376
1142,5.2275,4.8731
1143,5.2487,4.9088
1144,5.4319,4.7478
1145,5.345,4.308
1146,5.1206,5.0695
1147,5.3255,5.1197
1148,5.2457,4.6227
1149,5.0847,4.8534
1150,3.7732,6.539
1151,4.2717,5.2944
1152,3.497,5.914
1153,4.2622,5.8109
1154,5.1531,5.1913
1155,5.4181,4.7386
1156,5.0941,4.9301
1157,5.2063,5.2127
1158,4.7539,4.7077
1159,5.0846,4.9367
1160,5.1658,4.5439
1161,5.1509,4.7854
1162,5.0599,4.8499
1163,5.3833,4.8049
1164,5.0649,4.7143
1165,5.2459,4.7911
1166,5.1647,4.8581
